Height (m),Height err (m),t0(s),T0 err (s),Tf (s),Tf Err (s)
0.5,0.0005,0,0,0.316,0.009
0.5,0.0005,0,0,0.316,0.009
0.5,0.0005,0,0,0.334,0.009
0.5,0.0005,0,0,0.300,0.009
0.5,0.0005,0,0,0.300,0.009
0.5,0.0005,0,0,0.317,0.009
0.5,0.0005,0,0,0.317,0.009
0.5,0.0005,0,0,0.300,0.009
0.5,0.0005,0,0,0.300,0.009
0.5,0.0005,0,0,0.317,0.009
0.7,0.0005,0,0,0.383,0.009
0.7,0.0005,0,0,0.367,0.009
0.7,0.0005,0,0,0.400,0.009
0.7,0.0005,0,0,0.366,0.009
0.7,0.0005,0,0,0.367,0.009
0.7,0.0005,0,0,0.383,0.009
0.7,0.0005,0,0,0.383,0.009
0.7,0.0005,0,0,0.384,0.009
0.7,0.0005,0,0,0.384,0.009
0.7,0.0005,0,0,0.383,0.009
0.900,0.0005,0,0,0.434,0.008
0.900,0.0005,0,0,0.417,0.008
0.900,0.0005,0,0,0.434,0.008
0.900,0.0005,0,0,0.417,0.008
0.900,0.0005,0,0,0.417,0.008
0.900,0.0005,0,0,0.433,0.008
0.900,0.0005,0,0,0.434,0.008
0.900,0.0005,0,0,0.433,0.008
0.900,0.0005,0,0,0.416,0.008
0.900,0.0005,0,0,0.434,0.008
1.100,0.0005,0,0,0.483,0.009
1.100,0.0005,0,0,0.483,0.009
1.100,0.0005,0,0,0.467,0.009
1.100,0.0005,0,0,0.467,0.009
1.100,0.0005,0,0,0.483,0.009
1.100,0.0005,0,0,0.500,0.009
1.100,0.0005,0,0,0.467,0.009
1.100,0.0005,0,0,0.466,0.009
1.100,0.0005,0,0,0.467,0.009
1.100,0.0005,0,0,0.466,0.009
1.300,0.0005,0,0,0.517,0.008
1.300,0.0005,0,0,0.516,0.008
1.300,0.0005,0,0,0.516,0.008
1.300,0.0005,0,0,0.517,0.008
1.300,0.0005,0,0,0.533,0.008
1.300,0.0005,0,0,0.517,0.008
1.300,0.0005,0,0,0.517,0.008
1.300,0.0005,0,0,0.516,0.008
1.300,0.0005,0,0,0.516,0.008
1.300,0.0005,0,0,0.517,0.008
1.500,0.0005,0,0,0.550,0.008
1.500,0.0005,0,0,0.566,0.008
1.500,0.0005,0,0,0.567,0.008
1.500,0.0005,0,0,0.550,0.008
1.500,0.0005,0,0,0.567,0.008
1.500,0.0005,0,0,0.550,0.008
1.500,0.0005,0,0,0.550,0.008
1.500,0.0005,0,0,0.567,0.008
1.500,0.0005,0,0,0.550,0.008
1.500,0.0005,0,0,0.550,0.008
