 height(m), height err(m),t0(s),t0 err(s), tf(s), tf err(s)
1.50,0.02,0.482,0.012,1.026,0.007
1.50,0.02,1.015,0.012,1.548,0.007
1.50,0.02,0.289,0.012,0.826,0.007
1.50,0.02,0.366,0.012,0.907,0.007
1.50,0.02,0.326,0.012,0.866,0.007
1.70,0.02,0.811,0.012,1.389,0.007
1.70,0.02,0.300,0.012,0.882,0.007
1.70,0.02,0.778,0.012,1.349,0.007
1.70,0.02,0.255,0.012,0.837,0.007
1.70,0.02,0.400,0.012,0.959,0.007
1.00,0.02,1.044,0.012,1.482,0.007
1.00,0.02,0.178,0.012,0.655,0.007
1.00,0.02,0.133,0.012,0.571,0.007
1.00,0.02,0.222,0.012,0.648,0.007
1.00,0.02,0.700,0.012,1.137,0.007
